,text,score,output,ground_truth_output,Attacked
10,[[[[Premise]]]]: A land rover is being driven across a river.<SPLIT>[[[[Hypothesis]]]]: A [[sedan]] is [[stuck]] in the middle of a river.,0.1283854842185974,2.0,2.0,0
11,[[[[Premise]]]]: A man playing an electric guitar on stage.<SPLIT>[[[[Hypothesis]]]]: A man playing [[banjo]] on the [[floor]].,0.0019522905349731,2.0,2.0,0
12,[[[[Premise]]]]: A man playing an electric guitar on stage.<SPLIT>[[[[Hypothesis]]]]: A man playing guitar on [[stage]].,0.0321707129478454,0.0,0.0,0
13,[[[[Premise]]]]: A man playing an electric guitar on stage.<SPLIT>[[[[Hypothesis]]]]: A man is performing for [[cash]].,0.0181630253791809,1.0,1.0,0
14,[[[[Premise]]]]: A blond-haired doctor and her African american assistant looking threw new medical manuals.<SPLIT>[[[[Hypothesis]]]]: A [[man]] is [[eating]] pb and j,0.0011324882507324,2.0,2.0,0
15,"[[[[Premise]]]]: One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground.<SPLIT>[[[[Hypothesis]]]]: A [[boy]] runs into a wall",0.0022948384284973,2.0,2.0,0
16,"[[[[Premise]]]]: One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground.<SPLIT>[[[[Hypothesis]]]]: A tan girl runs [[leans]] over an object",0.0468556880950927,0.0,0.0,0
17,[[[[Premise]]]]: A young family enjoys feeling ocean waves lap at their feet.<SPLIT>[[[[Hypothesis]]]]: A young man and woman take their child to the [[beach]] for the first [[time]].,0.0820886492729187,1.0,1.0,0
18,[[[[Premise]]]]: A young family enjoys feeling ocean waves lap at their feet.<SPLIT>[[[[Hypothesis]]]]: A family is out at a [[restaurant]].,0.0266876816749572,2.0,2.0,0
19,[[[[Premise]]]]: A young family enjoys feeling ocean waves lap at their feet.<SPLIT>[[[[Hypothesis]]]]: [[A]] [[family]] is at the beach.,0.2313820719718933,0.0,0.0,0
20,[[[[Premise]]]]: A couple walk hand in hand down a street.<SPLIT>[[[[Hypothesis]]]]: A [[couple]] is walking together.,0.0349248647689819,0.0,0.0,0
21,[[[[Premise]]]]: A couple walk hand in hand down a street.<SPLIT>[[[[Hypothesis]]]]: The [[couple]] is [[married]].,0.0078710317611694,1.0,1.0,0
22,[[[[Premise]]]]: A couple walk hand in hand down a street.<SPLIT>[[[[Hypothesis]]]]: A couple is [[sitting]] on a [[bench]].,0.0012347698211669,2.0,2.0,0
23,[[[[Premise]]]]: 3 young man in hoods standing in the middle of a quiet street facing the camera.<SPLIT>[[[[Hypothesis]]]]: Three [[people]] [[sit]] by a busy street bareheaded.,0.0027300715446472,2.0,2.0,0
24,[[[[Premise]]]]: 3 young man in hoods standing in the middle of a quiet street facing the camera.<SPLIT>[[[[Hypothesis]]]]: Three hood wearing people stand in a [[street]].,0.044252872467041,0.0,0.0,0
25,[[[[Premise]]]]: A man reads the paper in a bar with green lighting.<SPLIT>[[[[Hypothesis]]]]: The man is [[inside]].,0.0464267134666442,0.0,0.0,0
26,[[[[Premise]]]]: A man reads the paper in a bar with green lighting.<SPLIT>[[[[Hypothesis]]]]: The [[man]] is reading the sportspage.,0.2046475410461425,1.0,1.0,0
27,[[[[Premise]]]]: A man reads the paper in a bar with green lighting.<SPLIT>[[[[Hypothesis]]]]: The man is [[climbing]] a [[mountain]].,0.0009955763816833,2.0,2.0,0
28,[[[[Premise]]]]: Three firefighter come out of subway station.<SPLIT>[[[[Hypothesis]]]]: Three [[firefighters]] coming up from a subway station.,0.0586839914321899,0.0,0.0,0
29,[[[[Premise]]]]: Three firefighter come out of subway station.<SPLIT>[[[[Hypothesis]]]]: Three firefighters [[playing]] [[cards]] inside a fire station.,0.198481798171997,2.0,2.0,0
30,"[[[[Premise]]]]: A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground.<SPLIT>[[[[Hypothesis]]]]: A person is [[near]] a [[pile]] of coconuts.",0.0178794264793396,0.0,0.0,0
31,"[[[[Premise]]]]: A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground.<SPLIT>[[[[Hypothesis]]]]: A person is [[selling]] [[coconuts]].",0.2957205176353454,1.0,1.0,0
32,"[[[[Premise]]]]: A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground.<SPLIT>[[[[Hypothesis]]]]: A person is [[burning]] a straw hat.",0.2808164954185486,2.0,2.0,0
33,[[[[Premise]]]]: Male in a blue jacket decides to lay in the grass.<SPLIT>[[[[Hypothesis]]]]: The guy in [[yellow]] is [[rolling]] on the grass,0.0048072338104248,2.0,2.0,0
34,[[[[Premise]]]]: Male in a blue jacket decides to lay in the grass.<SPLIT>[[[[Hypothesis]]]]: The guy wearing a [[blue]] jacket is laying on the green [[grass]] taking a [[nap]].,0.0096654295921325,1.0,1.0,0
35,[[[[Premise]]]]: During calf roping a cowboy calls off his horse.<SPLIT>[[[[Hypothesis]]]]: A first [[time]] roper falls off his [[horse]].,0.1438139081001281,1.0,1.0,0
36,[[[[Premise]]]]: A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment.<SPLIT>[[[[Hypothesis]]]]: A boy is on a [[playground]].,0.0163397789001464,0.0,0.0,0
37,[[[[Premise]]]]: A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment.<SPLIT>[[[[Hypothesis]]]]: The [[boy]] is [[playing]] on the swings after [[school]].,0.0124049186706542,1.0,1.0,0
38,[[[[Premise]]]]: A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment.<SPLIT>[[[[Hypothesis]]]]: The [[boy]] is [[sitting]] on the school [[bus]] on his way home.,0.0031580924987792,2.0,2.0,0
39,[[[[Premise]]]]: A woman wearing a ball cap squats down to touch the cracked earth.<SPLIT>[[[[Hypothesis]]]]: An [[archeologist]] wearing a hat [[squats]] to examine the [[site]] for a [[dig]],0.0080336332321167,1.0,1.0,0
40,[[[[Premise]]]]: A woman wearing a ball cap squats down to touch the cracked earth.<SPLIT>[[[[Hypothesis]]]]: A squatting woman wearing a hat [[touching]] the [[ground]].,0.0484859347343444,0.0,0.0,0
41,[[[[Premise]]]]: A woman wearing a ball cap squats down to touch the cracked earth.<SPLIT>[[[[Hypothesis]]]]: A woman [[wearing]] a sun [[bonnet]] planting a [[garden]].,0.0325178503990173,2.0,2.0,0
42,[[[[Premise]]]]: Two children re laying on a rug with some wooden bricks laid out in a square between them.<SPLIT>[[[[Hypothesis]]]]: Two children are [[playing]] [[catch]] at a park.,0.0062536001205444,2.0,2.0,0
43,[[[[Premise]]]]: Two children re laying on a rug with some wooden bricks laid out in a square between them.<SPLIT>[[[[Hypothesis]]]]: Two children are on a [[rug]].,0.0174949169158935,0.0,0.0,0
44,[[[[Premise]]]]: A man standing in front of a building on the phone as two men to the side pain on the side.<SPLIT>[[[[Hypothesis]]]]: a [[guy]] [[near]] a building stands by two other men,0.034519076347351,0.0,0.0,0
45,[[[[Premise]]]]: A man standing in front of a building on the phone as two men to the side pain on the side.<SPLIT>[[[[Hypothesis]]]]: two [[girls]] [[walk]] through a [[hall]],0.0008832812309265,2.0,2.0,0
46,[[[[Premise]]]]: A man standing in front of a building on the phone as two men to the side pain on the side.<SPLIT>[[[[Hypothesis]]]]: a busy [[man]] stands with [[bodyguards]],0.0865548253059387,1.0,1.0,0
47,"[[[[Premise]]]]: The two young girls are dressed as fairies, and are playing in the leaves outdoors.<SPLIT>[[[[Hypothesis]]]]: [[Girls]] are playing outdoors.",0.0187886953353881,0.0,0.0,0
48,"[[[[Premise]]]]: The two young girls are dressed as fairies, and are playing in the leaves outdoors.<SPLIT>[[[[Hypothesis]]]]: Two girls play dress up [[indoors]].",0.0151875019073486,2.0,2.0,0
49,"[[[[Premise]]]]: The two young girls are dressed as fairies, and are playing in the leaves outdoors.<SPLIT>[[[[Hypothesis]]]]: The two girls play in the [[Autumn]].",0.0365007519721984,1.0,1.0,0
50,[[[[Premise]]]]: People jump over a mountain crevasse on a rope.<SPLIT>[[[[Hypothesis]]]]: Some people look visually [[afraid]] to jump.,0.3268123865127563,1.0,1.0,0
51,[[[[Premise]]]]: People jump over a mountain crevasse on a rope.<SPLIT>[[[[Hypothesis]]]]: [[People]] are jumping outside.,0.0288634300231933,0.0,0.0,0
52,[[[[Premise]]]]: People jump over a mountain crevasse on a rope.<SPLIT>[[[[Hypothesis]]]]: [[People]] slide over a mountain crevasse on a slide.,0.1826992630958557,2.0,2.0,0
53,[[[[Premise]]]]: A snowboarder on a wide plain of snow<SPLIT>[[[[Hypothesis]]]]: A snow field with a [[snowboarder]] on it,0.1886124610900879,0.0,0.0,0
54,[[[[Premise]]]]: An older women tending to a garden.<SPLIT>[[[[Hypothesis]]]]: The lady is [[cooking]] [[dinner]],0.002102255821228,2.0,2.0,0
55,[[[[Premise]]]]: An older women tending to a garden.<SPLIT>[[[[Hypothesis]]]]: The lady is [[weeding]] her garden,0.4107722043991089,1.0,1.0,0
56,[[[[Premise]]]]: An older women tending to a garden.<SPLIT>[[[[Hypothesis]]]]: The lady has a [[garden]],0.050748586654663,0.0,0.0,0
57,[[[[Premise]]]]: A man in a black shirt overlooking bike maintenance.<SPLIT>[[[[Hypothesis]]]]: A man [[destroys]] a bike.,0.0666156411170959,2.0,2.0,0
58,[[[[Premise]]]]: A man in a black shirt overlooking bike maintenance.<SPLIT>[[[[Hypothesis]]]]: A [[man]] watches [[bike]] repairs.,0.4414165019989013,0.0,0.0,0
59,[[[[Premise]]]]: A man in a black shirt overlooking bike maintenance.<SPLIT>[[[[Hypothesis]]]]: A man [[learns]] bike maintenance.,0.1854315996170044,1.0,1.0,0
60,[[[[Premise]]]]: A man in a black shirt is looking at a bike in a workshop.<SPLIT>[[[[Hypothesis]]]]: A man is [[wearing]] a red [[shirt]],0.0028437376022338,2.0,2.0,0
61,[[[[Premise]]]]: A man in a black shirt is looking at a bike in a workshop.<SPLIT>[[[[Hypothesis]]]]: A man is in a black [[shirt]],0.0473645329475402,0.0,0.0,0
62,[[[[Premise]]]]: A man in a black shirt is looking at a bike in a workshop.<SPLIT>[[[[Hypothesis]]]]: A [[man]] is [[deciding]] which bike to [[buy]],0.0423826575279235,1.0,1.0,0
63,[[[[Premise]]]]: A man looking over a bicycle's rear wheel in the maintenance garage with various tools visible in the background.<SPLIT>[[[[Hypothesis]]]]: A person is in a [[garage]].,0.0204421877861022,0.0,0.0,0
64,[[[[Premise]]]]: A man looking over a bicycle's rear wheel in the maintenance garage with various tools visible in the background.<SPLIT>[[[[Hypothesis]]]]: [[A]] man repairs bicycles.,0.2939575910568237,0.0,0.0,0
65,"[[[[Premise]]]]: Three people sit on a bench at a station, the man looks oddly at the two women, the redheaded women looks up and forward in an awkward position, and the yellow blond girl twiddles with her hair.<SPLIT>[[[[Hypothesis]]]]: Some people [[stand]] around.",0.0100871324539184,2.0,2.0,0
66,"[[[[Premise]]]]: Three people sit on a bench at a station, the man looks oddly at the two women, the redheaded women looks up and forward in an awkward position, and the yellow blond girl twiddles with her hair.<SPLIT>[[[[Hypothesis]]]]: People [[run]] together.",0.0032854080200195,2.0,2.0,0
67,"[[[[Premise]]]]: Three people sit on a bench at a station, the man looks oddly at the two women, the redheaded women looks up and forward in an awkward position, and the yellow blond girl twiddles with her hair.<SPLIT>[[[[Hypothesis]]]]: [[People]] wait at a station.",0.0478303432464599,0.0,0.0,0
68,[[[[Premise]]]]: A child wearing a red top is standing behind a blond headed child sitting in a wheelbarrow.<SPLIT>[[[[Hypothesis]]]]: A [[child]] [[wearing]] a red top is standing behind a blond headed child,0.0375821590423584,0.0,0.0,0
69,[[[[Premise]]]]: A child wearing a red top is standing behind a blond headed child sitting in a wheelbarrow.<SPLIT>[[[[Hypothesis]]]]: A child wearing a red top is [[standing]] on top of a blond headed child,0.4447396993637085,2.0,2.0,0
70,[[[[Premise]]]]: A child wearing a red top is standing behind a blond headed child sitting in a wheelbarrow.<SPLIT>[[[[Hypothesis]]]]: A child wearing a red top is standing behind a [[pretty]] blond headed child,0.0467655658721923,1.0,1.0,0
71,"[[[[Premise]]]]: A person dressed in a dress with flowers and a stuffed bee attached to it, is pushing a baby stroller down the street.<SPLIT>[[[[Hypothesis]]]]: An [[old]] lady pushing a stroller down a busy [[street]].",0.0073771476745605,1.0,1.0,0
72,"[[[[Premise]]]]: A person dressed in a dress with flowers and a stuffed bee attached to it, is pushing a baby stroller down the street.<SPLIT>[[[[Hypothesis]]]]: A person outside pushing a [[stroller]].",0.0182844996452331,0.0,0.0,0
73,[[[[Premise]]]]: A dog jumping for a Frisbee in the snow.<SPLIT>[[[[Hypothesis]]]]: A [[pet]] is enjoying a game of fetch with his [[owner]].,0.0459837913513183,1.0,1.0,0
74,[[[[Premise]]]]: A dog jumping for a Frisbee in the snow.<SPLIT>[[[[Hypothesis]]]]: A [[cat]] [[washes]] his face and whiskers with his front paw.,0.00068199634552,2.0,2.0,0
75,"[[[[Premise]]]]: A dog jumping for a Frisbee in the snow.<SPLIT>[[[[Hypothesis]]]]: An [[animal]] is outside in the cold weather, playing with a plastic toy.",0.0809806585311889,0.0,0.0,0
76,[[[[Premise]]]]: People are conversing at a dining table under a canopy.<SPLIT>[[[[Hypothesis]]]]: People at a party are seated for [[dinner]] on the lawn.,0.4975411891937256,1.0,1.0,0
77,[[[[Premise]]]]: People are conversing at a dining table under a canopy.<SPLIT>[[[[Hypothesis]]]]: People are talking underneath a [[covering]].,0.1116993427276611,0.0,0.0,0
78,[[[[Premise]]]]: People are conversing at a dining table under a canopy.<SPLIT>[[[[Hypothesis]]]]: [[People]] are [[screaming]] at a [[boxing]] match.,0.0017902851104736,2.0,2.0,0
79,[[[[Premise]]]]: A girl playing a violin along with a group of people<SPLIT>[[[[Hypothesis]]]]: A [[girl]] is [[washing]] a load of [[laundry]].,0.0007001161575317,2.0,2.0,0
80,[[[[Premise]]]]: A girl playing a violin along with a group of people<SPLIT>[[[[Hypothesis]]]]: A girl is playing an [[instrument]].,0.0153100490570068,0.0,0.0,0
81,[[[[Premise]]]]: A girl playing a violin along with a group of people<SPLIT>[[[[Hypothesis]]]]: A group of [[people]] are playing in a [[symphony]].,0.1718138456344604,1.0,1.0,0
82,[[[[Premise]]]]: A woman within an orchestra is playing a violin.<SPLIT>[[[[Hypothesis]]]]: A woman is playing a [[concert]].,0.0877814292907714,1.0,1.0,0
83,[[[[Premise]]]]: A woman within an orchestra is playing a violin.<SPLIT>[[[[Hypothesis]]]]: A woman is [[playing]] the violin.,0.0353785157203674,0.0,0.0,0
84,"[[[[Premise]]]]: Three men, one holding pipes, another holding a large object above his head, and one resting against the pipe bed on the truck, are looking at the camera.<SPLIT>[[[[Hypothesis]]]]: three [[men]] going to [[work]]",0.0295428037643432,1.0,1.0,0
85,"[[[[Premise]]]]: Three men, one holding pipes, another holding a large object above his head, and one resting against the pipe bed on the truck, are looking at the camera.<SPLIT>[[[[Hypothesis]]]]: three men look at the [[camera]]",0.0310767292976379,0.0,0.0,0
86,"[[[[Premise]]]]: Three men, one holding pipes, another holding a large object above his head, and one resting against the pipe bed on the truck, are looking at the camera.<SPLIT>[[[[Hypothesis]]]]: three men [[sleeping]] in a [[tent]]",0.0048661828041076,2.0,2.0,0
87,[[[[Premise]]]]: A Ford car is making a right turn as 3 males are walking across the street behind the car.<SPLIT>[[[[Hypothesis]]]]: A car making a right turn [[had]] three pedestrians cross behind it.,0.4338976144790649,0.0,0.0,0
88,[[[[Premise]]]]: Three boys in white shirts are walking behind an older model Ford car.<SPLIT>[[[[Hypothesis]]]]: there are three [[boys]],0.0092245936393737,0.0,0.0,0
89,[[[[Premise]]]]: Three boys in white shirts are walking behind an older model Ford car.<SPLIT>[[[[Hypothesis]]]]: There are three [[girls]],0.0026183724403381,2.0,2.0,0
90,[[[[Premise]]]]: Three girls blow out the candles of a cake made of Peeps.<SPLIT>[[[[Hypothesis]]]]: Some [[people]] are blowing out candles,0.2550817728042602,0.0,0.0,0
91,[[[[Premise]]]]: Three girls blow out the candles of a cake made of Peeps.<SPLIT>[[[[Hypothesis]]]]: There are three [[girls]] and a cake,0.0185917019844055,0.0,0.0,0
92,[[[[Premise]]]]: Three girls blow out the candles of a cake made of Peeps.<SPLIT>[[[[Hypothesis]]]]: There are peeps in the [[garden]].,0.5308880805969238,2.0,2.0,0
93,[[[[Premise]]]]: A crowd of people looking up at 3 people on the edge of the roof of a building.<SPLIT>[[[[Hypothesis]]]]: The [[crowd]] is [[calling]] for [[help]] for the people on the [[roof]].,0.06882905960083,1.0,1.0,0
94,[[[[Premise]]]]: A crowd of people looking up at 3 people on the edge of the roof of a building.<SPLIT>[[[[Hypothesis]]]]: Three people are [[climbing]] down the ladder on the building.,0.0271228551864624,2.0,2.0,0
95,[[[[Premise]]]]: A woman working long hours.<SPLIT>[[[[Hypothesis]]]]: A woman is working in a [[factory]].,0.0207126140594482,1.0,1.0,0
96,[[[[Premise]]]]: A woman working long hours.<SPLIT>[[[[Hypothesis]]]]: A woman is [[working]].,0.0295822024345397,0.0,0.0,0
97,[[[[Premise]]]]: A woman working long hours.<SPLIT>[[[[Hypothesis]]]]: A woman is [[sleeping]].,0.00165855884552,2.0,2.0,0
98,[[[[Premise]]]]: Two teenage girls conversing next to lockers.<SPLIT>[[[[Hypothesis]]]]: Girls talking next to the [[toilet]].,0.1770175099372863,2.0,2.0,0
99,[[[[Premise]]]]: Two teenage girls conversing next to lockers.<SPLIT>[[[[Hypothesis]]]]: [[People]] talking next to lockers.,0.0216756463050842,0.0,0.0,0
100,[[[[Premise]]]]: Two teenage girls conversing next to lockers.<SPLIT>[[[[Hypothesis]]]]: [[Girls]] [[talking]] about their [[problems]] next to [[lockers]].,0.0079468488693237,1.0,1.0,0
101,[[[[Premise]]]]: An old woman watches a man look down at some balls on the ground.<SPLIT>[[[[Hypothesis]]]]: An elderly female is [[stalking]] a male.,0.4232378005981445,1.0,1.0,0
102,"[[[[Premise]]]]: Two children, both wearing tan coats, are embracing one another.<SPLIT>[[[[Hypothesis]]]]: Two kids are [[hugging]] after surviving a horrible car wreck.",0.0244941711425781,1.0,1.0,0
103,"[[[[Premise]]]]: Two children, both wearing tan coats, are embracing one another.<SPLIT>[[[[Hypothesis]]]]: Two kids are [[hugging]].",0.0156090259552001,0.0,0.0,0
104,"[[[[Premise]]]]: Two children, both wearing tan coats, are embracing one another.<SPLIT>[[[[Hypothesis]]]]: Two kids are [[running]] down a highway.",0.0025990009307861,2.0,2.0,0
105,[[[[Premise]]]]: 2 kids who look related are hanging out with 1 of them looking very emotional and hugging the other.<SPLIT>[[[[Hypothesis]]]]: A couple of child relatives were [[hugging]] [[because]] they were [[happy]] to see [[each]] other.,0.0368155837059021,1.0,1.0,0
106,[[[[Premise]]]]: 2 kids who look related are hanging out with 1 of them looking very emotional and hugging the other.<SPLIT>[[[[Hypothesis]]]]: Two [[kids]] were hugging.,0.1175590753555297,0.0,0.0,0
107,[[[[Premise]]]]: 2 kids who look related are hanging out with 1 of them looking very emotional and hugging the other.<SPLIT>[[[[Hypothesis]]]]: Two youths were [[pushing]] each other.,0.3928218483924866,2.0,2.0,0
108,[[[[Premise]]]]: A large number of people wearing only white and red are walking on a street.<SPLIT>[[[[Hypothesis]]]]: A large number of people wearing [[black]] walking down the street.,0.0089479088783264,2.0,2.0,0
109,[[[[Premise]]]]: A large number of people wearing only white and red are walking on a street.<SPLIT>[[[[Hypothesis]]]]: A large number of [[men]] walking down the street in red and white.,0.033533751964569,1.0,1.0,0
110,[[[[Premise]]]]: A large number of people wearing only white and red are walking on a street.<SPLIT>[[[[Hypothesis]]]]: A large number of people walking on a [[street]].,0.0245379209518432,0.0,0.0,0
111,[[[[Premise]]]]: A guy riding a motorcycle near junk cars<SPLIT>[[[[Hypothesis]]]]: The man is test driving a [[motorcycle]] to decide whether or not he will buy it.,0.0605211853981018,1.0,1.0,0
112,[[[[Premise]]]]: A guy riding a motorcycle near junk cars<SPLIT>[[[[Hypothesis]]]]: A man is riding a [[motorcycle]].,0.0132712721824646,0.0,0.0,0
113,[[[[Premise]]]]: A guy riding a motorcycle near junk cars<SPLIT>[[[[Hypothesis]]]]: A man is sitting on a parked motorcycle [[waiting]] for his friend.,0.2491800189018249,2.0,2.0,0
114,"[[[[Premise]]]]: Women of India performing with blue streamers, in beautiful blue costumes.<SPLIT>[[[[Hypothesis]]]]: indian women perform together in gorgeous [[costumes]]",0.2432792782783508,0.0,0.0,0
115,"[[[[Premise]]]]: Women of India performing with blue streamers, in beautiful blue costumes.<SPLIT>[[[[Hypothesis]]]]: [[dogs]] sniff the air",0.0034027695655822,2.0,2.0,0
116,"[[[[Premise]]]]: Women of India performing with blue streamers, in beautiful blue costumes.<SPLIT>[[[[Hypothesis]]]]: indian women are [[performing]] a [[religious]] ritual together",0.0184775590896606,1.0,1.0,0
117,[[[[Premise]]]]: A professional swimmer spits water out after surfacing while grabbing the hand of someone helping him back to land.<SPLIT>[[[[Hypothesis]]]]: A [[person]] is swimming.,0.0417787432670593,0.0,0.0,0
118,[[[[Premise]]]]: A professional swimmer spits water out after surfacing while grabbing the hand of someone helping him back to land.<SPLIT>[[[[Hypothesis]]]]: The swimmer is [[eating]] a toasted [[marshmallow]].,0.0040067434310913,2.0,2.0,0
119,[[[[Premise]]]]: A professional swimmer spits water out after surfacing while grabbing the hand of someone helping him back to land.<SPLIT>[[[[Hypothesis]]]]: The [[swimmer]] almost [[drowned]] after being sucked under a fast [[current]].,0.0342225432395935,1.0,1.0,0
120,[[[[Premise]]]]: The man in the black wetsuit is walking out of the water.<SPLIT>[[[[Hypothesis]]]]: A man in a wetsuit walks out of the water [[carrying]] a [[surfboard]].,0.0261728763580322,1.0,1.0,0
121,[[[[Premise]]]]: The man in the black wetsuit is walking out of the water.<SPLIT>[[[[Hypothesis]]]]: a [[person]] is walking out of water.,0.0202507972717285,0.0,0.0,0
122,[[[[Premise]]]]: The man in the black wetsuit is walking out of the water.<SPLIT>[[[[Hypothesis]]]]: A man is [[laying]] on the beach.,0.0017129778861999,2.0,2.0,0
123,[[[[Premise]]]]: Five girls and two guys are crossing a overpass.<SPLIT>[[[[Hypothesis]]]]: The extended family hike together on their family [[reunion]].,0.0545486211776733,1.0,1.0,0
124,[[[[Premise]]]]: Five girls and two guys are crossing a overpass.<SPLIT>[[[[Hypothesis]]]]: The three men [[sit]] and talk about their lives.,0.0050765872001647,2.0,2.0,0
125,[[[[Premise]]]]: Five girls and two guys are crossing a overpass.<SPLIT>[[[[Hypothesis]]]]: There are [[people]] outside.,0.0131107568740844,0.0,0.0,0
126,[[[[Premise]]]]: A person with a purple shirt is painting an image of a woman on a white wall.<SPLIT>[[[[Hypothesis]]]]: A woman [[paints]] a portrait of her [[best]] friend.,0.0142093896865844,1.0,1.0,0
127,[[[[Premise]]]]: A person with a purple shirt is painting an image of a woman on a white wall.<SPLIT>[[[[Hypothesis]]]]: A woman paints a portrait of a [[monkey]].,0.0630528330802917,2.0,2.0,0
128,[[[[Premise]]]]: A woman is painting a mural of a woman's face.<SPLIT>[[[[Hypothesis]]]]: There is a [[woman]] painting.,0.0097109079360961,0.0,0.0,0
129,[[[[Premise]]]]: A woman is painting a mural of a woman's face.<SPLIT>[[[[Hypothesis]]]]: There is a woman painting for [[fun]].,0.0318171977996826,1.0,1.0,0
130,[[[[Premise]]]]: A woman is painting a mural of a woman's face.<SPLIT>[[[[Hypothesis]]]]: There is a [[man]] [[tying]] his [[shoes]].,0.0018877983093261,2.0,2.0,0
131,[[[[Premise]]]]: A couple is eating outside at a table and he is pointing at something.<SPLIT>[[[[Hypothesis]]]]: A couple is eating [[inside]] at a table and he is pointing at something.,0.1352402567863464,2.0,2.0,0
132,[[[[Premise]]]]: A couple is eating outside at a table and he is pointing at something.<SPLIT>[[[[Hypothesis]]]]: The man is [[pointing]] at a purse snatcher.,0.2648914456367492,1.0,1.0,0
133,[[[[Premise]]]]: A couple is eating outside at a table and he is pointing at something.<SPLIT>[[[[Hypothesis]]]]: [[People]] are eating at a table [[outside]].,0.0346795320510864,0.0,0.0,0
134,[[[[Premise]]]]: Two women walk down a sidewalk along a busy street in a downtown area.<SPLIT>[[[[Hypothesis]]]]: The women were walking downtown [[because]] the buses were on strike,0.217930257320404,1.0,1.0,0
135,[[[[Premise]]]]: Two women walk down a sidewalk along a busy street in a downtown area.<SPLIT>[[[[Hypothesis]]]]: The women were picking berries in the [[countryside]],0.0045156478881835,2.0,2.0,0
136,[[[[Premise]]]]: Two women walk down a sidewalk along a busy street in a downtown area.<SPLIT>[[[[Hypothesis]]]]: The women were [[walking]] downtown,0.2967066764831543,0.0,0.0,0
137,"[[[[Premise]]]]: Many people standing outside of a place talking to each other in front of a building that has a sign that says ""HI-POINTE.""<SPLIT>[[[[Hypothesis]]]]: The people are having a [[chat]] before [[going]] into the work building.",0.0167455077171325,1.0,1.0,0
138,"[[[[Premise]]]]: Many people standing outside of a place talking to each other in front of a building that has a sign that says ""HI-POINTE.""<SPLIT>[[[[Hypothesis]]]]: The [[people]] are [[sitting]] in the hotel [[lobby]].",0.0018162131309509,2.0,2.0,0
139,[[[[Premise]]]]: The flight attendant dressed in yellow demonstrates life vest usage.<SPLIT>[[[[Hypothesis]]]]: A flight [[attendant]] is [[demonstrating]] safety procedures before takeoff.,0.1007266640663147,1.0,1.0,0
140,[[[[Premise]]]]: The flight attendant dressed in yellow demonstrates life vest usage.<SPLIT>[[[[Hypothesis]]]]: A woman is preparing [[drinks]] on an airplane.,0.0639715790748596,2.0,2.0,0
141,[[[[Premise]]]]: The girls walk down the street.<SPLIT>[[[[Hypothesis]]]]: Girls walk down the [[street]].,0.0123990774154663,0.0,0.0,0
142,[[[[Premise]]]]: The girls walk down the street.<SPLIT>[[[[Hypothesis]]]]: Girls [[set]] down in the street.,0.4408822655677795,2.0,2.0,0
