"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"[[[[Premise]]]]: A man playing an electric guitar on stage.<SPLIT>[[[[Hypothesis]]]]: A man playing [[banjo]] on the [[floor]].","[[[[Premise]]]]: A man playing an electric guitar on stage.<SPLIT>[[[[Hypothesis]]]]: A man playing [[guitarist]] on the [[sol]].",0.0002117753028869629,0.6271846890449524,0.0,2.0,0.0,61.0,"Successful"
"[[[[Premise]]]]: A man playing an electric guitar on stage.<SPLIT>[[[[Hypothesis]]]]: A man playing guitar on [[stage]].","[[[[Premise]]]]: A man playing an electric guitar on stage.<SPLIT>[[[[Hypothesis]]]]: A man playing guitar on [[crossroads]].",0.031954944133758545,0.9985743165016174,1.0,2.0,1.0,39.0,"Successful"
"[[[[Premise]]]]: A man playing an electric guitar on stage.<SPLIT>[[[[Hypothesis]]]]: A man is performing for [[cash]].","[[[[Premise]]]]: A man playing an electric guitar on stage.<SPLIT>[[[[Hypothesis]]]]: A man is performing for [[liquids]].",0.0026732683181762695,0.5355550646781921,2.0,1.0,2.0,48.0,"Successful"
"[[[[Premise]]]]: A blond-haired doctor and her African american assistant looking threw new medical manuals.<SPLIT>[[[[Hypothesis]]]]: A [[doctor]] is looking at a book","[[[[Premise]]]]: A blond-haired doctor and her African american assistant looking threw new medical manuals.<SPLIT>[[[[Hypothesis]]]]: A [[gynecologist]] is looking at a book",0.07374513149261475,0.6561784744262695,1.0,2.0,1.0,56.0,"Successful"
"[[[[Premise]]]]: A blond-haired doctor and her African american assistant looking threw new medical manuals.<SPLIT>[[[[Hypothesis]]]]: A [[man]] is [[eating]] [[pb]] and j","[[[[Premise]]]]: A blond-haired doctor and her African american assistant looking threw new medical manuals.<SPLIT>[[[[Hypothesis]]]]: A [[mec]] is [[essen]] [[po]] and j",0.00022166967391967773,0.7155835628509521,0.0,2.0,0.0,88.0,"Successful"
"[[[[Premise]]]]: A blond-haired doctor and her African american assistant looking threw new medical manuals.<SPLIT>[[[[Hypothesis]]]]: A doctor is studying","[[[[Premise]]]]: A blond-haired doctor and her African american assistant looking threw new medical manuals.<SPLIT>[[[[Hypothesis]]]]: A doctor is studying",0.8762277960777283,0.8762277960777283,1.0,1.0,2.0,1.0,"Skipped"
"[[[[Premise]]]]: One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground.<SPLIT>[[[[Hypothesis]]]]: A [[boy]] runs into a [[wall]]","[[[[Premise]]]]: One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground.<SPLIT>[[[[Hypothesis]]]]: A [[friend]] runs into a [[mur]]",0.00021523237228393555,0.9424745440483093,0.0,2.0,0.0,88.0,"Successful"
"[[[[Premise]]]]: One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground.<SPLIT>[[[[Hypothesis]]]]: A tan [[girl]] runs leans over an object","[[[[Premise]]]]: One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground.<SPLIT>[[[[Hypothesis]]]]: A tan [[chicas]] runs leans over an object",0.019129455089569092,0.9987469911575317,1.0,0.0,1.0,82.0,"Successful"
"[[[[Premise]]]]: One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground.<SPLIT>[[[[Hypothesis]]]]: A man watches his daughter leap","[[[[Premise]]]]: One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground.<SPLIT>[[[[Hypothesis]]]]: A man watches his daughter leap",0.9791127443313599,0.9791127443313599,0.0,0.0,2.0,1.0,"Skipped"
"[[[[Premise]]]]: A young family enjoys feeling ocean waves lap at their feet.<SPLIT>[[[[Hypothesis]]]]: A young man and woman [[take]] their child to the beach for the first [[time]].","[[[[Premise]]]]: A young family enjoys feeling ocean waves lap at their feet.<SPLIT>[[[[Hypothesis]]]]: A young man and woman [[wear]] their child to the beach for the first [[temps]].",0.0024858713150024414,0.6665377616882324,2.0,0.0,2.0,108.0,"Successful"
"[[[[Premise]]]]: A young family enjoys feeling ocean waves lap at their feet.<SPLIT>[[[[Hypothesis]]]]: A family is out at a [[restaurant]].","[[[[Premise]]]]: A young family enjoys feeling ocean waves lap at their feet.<SPLIT>[[[[Hypothesis]]]]: A family is out at a [[dinnertime]].",0.01016700267791748,0.9176015853881836,0.0,2.0,0.0,65.0,"Successful"
"[[[[Premise]]]]: A young family enjoys feeling ocean waves lap at their feet.<SPLIT>[[[[Hypothesis]]]]: A family is at the [[beach]].","[[[[Premise]]]]: A young family enjoys feeling ocean waves lap at their feet.<SPLIT>[[[[Hypothesis]]]]: A family is at the [[bain]].",0.06069844961166382,0.992456316947937,1.0,0.0,1.0,37.0,"Successful"
"[[[[Premise]]]]: A couple walk hand in hand down a street.<SPLIT>[[[[Hypothesis]]]]: A couple is [[walking]] together.","[[[[Premise]]]]: A couple walk hand in hand down a street.<SPLIT>[[[[Hypothesis]]]]: A couple is [[mountaineering]] together.",0.05944710969924927,0.999923586845398,1.0,0.0,1.0,36.0,"Successful"
"[[[[Premise]]]]: A couple walk hand in hand down a street.<SPLIT>[[[[Hypothesis]]]]: The couple is [[married]].","[[[[Premise]]]]: A couple walk hand in hand down a street.<SPLIT>[[[[Hypothesis]]]]: The couple is [[mari]].",0.0012507438659667969,0.8490406274795532,2.0,0.0,2.0,30.0,"Successful"
"[[[[Premise]]]]: A couple walk hand in hand down a street.<SPLIT>[[[[Hypothesis]]]]: A [[couple]] is [[sitting]] on a [[bench]].","[[[[Premise]]]]: A couple walk hand in hand down a street.<SPLIT>[[[[Hypothesis]]]]: A [[coincide]] is [[tis]] on a [[oar]].",0.0004311203956604004,0.9675232172012329,0.0,1.0,0.0,60.0,"Successful"
"[[[[Premise]]]]: 3 young man in hoods standing in the middle of a quiet street facing the camera.<SPLIT>[[[[Hypothesis]]]]: Three people [[sit]] by a [[busy]] street bareheaded.","[[[[Premise]]]]: 3 young man in hoods standing in the middle of a quiet street facing the camera.<SPLIT>[[[[Hypothesis]]]]: Three people [[assisi]] by a [[overburdened]] street bareheaded.",0.0003045797348022461,0.8662568926811218,0.0,2.0,0.0,53.0,"Successful"
"[[[[Premise]]]]: 3 young man in hoods standing in the middle of a quiet street facing the camera.<SPLIT>[[[[Hypothesis]]]]: Three hood [[wearing]] people pose for a picture.","[[[[Premise]]]]: 3 young man in hoods standing in the middle of a quiet street facing the camera.<SPLIT>[[[[Hypothesis]]]]: Three hood [[harbours]] people pose for a picture.",0.258983314037323,0.5377366542816162,1.0,2.0,1.0,36.0,"Successful"
"[[[[Premise]]]]: 3 young man in hoods standing in the middle of a quiet street facing the camera.<SPLIT>[[[[Hypothesis]]]]: Three hood [[wearing]] people stand in a street.","[[[[Premise]]]]: 3 young man in hoods standing in the middle of a quiet street facing the camera.<SPLIT>[[[[Hypothesis]]]]: Three hood [[seaport]] people stand in a street.",0.036893248558044434,0.8967644572257996,1.0,2.0,1.0,40.0,"Successful"
"[[[[Premise]]]]: A man reads the paper in a bar with green lighting.<SPLIT>[[[[Hypothesis]]]]: The man is [[inside]].","[[[[Premise]]]]: A man reads the paper in a bar with green lighting.<SPLIT>[[[[Hypothesis]]]]: The man is [[inboard]].",0.018401622772216797,0.9988903403282166,1.0,0.0,1.0,27.0,"Successful"
"[[[[Premise]]]]: A man reads the paper in a bar with green lighting.<SPLIT>[[[[Hypothesis]]]]: The [[man]] is [[reading]] the sportspage.","[[[[Premise]]]]: A man reads the paper in a bar with green lighting.<SPLIT>[[[[Hypothesis]]]]: The [[dawg]] is [[lire]] the sportspage.",0.004641473293304443,0.6274738907814026,2.0,0.0,2.0,63.0,"Successful"
"[[[[Premise]]]]: A man reads the paper in a bar with green lighting.<SPLIT>[[[[Hypothesis]]]]: The man is [[climbing]] a [[mountain]].","[[[[Premise]]]]: A man reads the paper in a bar with green lighting.<SPLIT>[[[[Hypothesis]]]]: The man is [[heightened]] a [[hill]].",3.0040740966796875e-05,0.5460681915283203,0.0,1.0,0.0,78.0,"Successful"
"[[[[Premise]]]]: Three firefighter come out of subway station.<SPLIT>[[[[Hypothesis]]]]: Three firefighters putting out a [[fire]] inside of a subway station.","[[[[Premise]]]]: Three firefighter come out of subway station.<SPLIT>[[[[Hypothesis]]]]: Three firefighters putting out a [[firefighter]] inside of a subway station.",0.05713212490081787,0.6678438186645508,2.0,0.0,2.0,44.0,"Successful"
"[[[[Premise]]]]: Three firefighter come out of subway station.<SPLIT>[[[[Hypothesis]]]]: Three [[firefighters]] coming up from a subway station.","[[[[Premise]]]]: Three firefighter come out of subway station.<SPLIT>[[[[Hypothesis]]]]: Three [[firemen]] coming up from a subway station.",0.20438522100448608,0.7157779932022095,1.0,0.0,1.0,50.0,"Successful"
"[[[[Premise]]]]: Three firefighter come out of subway station.<SPLIT>[[[[Hypothesis]]]]: Three firefighters [[playing]] cards inside a fire station.","[[[[Premise]]]]: Three firefighter come out of subway station.<SPLIT>[[[[Hypothesis]]]]: Three firefighters [[replicate]] cards inside a fire station.",0.003543555736541748,0.9222794771194458,0.0,2.0,0.0,55.0,"Successful"
"[[[[Premise]]]]: A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground.<SPLIT>[[[[Hypothesis]]]]: A person is [[near]] a pile of coconuts.","[[[[Premise]]]]: A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground.<SPLIT>[[[[Hypothesis]]]]: A person is [[roundabout]] a pile of coconuts.",0.012006521224975586,0.7900182008743286,1.0,2.0,1.0,34.0,"Successful"
"[[[[Premise]]]]: A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground.<SPLIT>[[[[Hypothesis]]]]: A person is [[selling]] [[coconuts]].","[[[[Premise]]]]: A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground.<SPLIT>[[[[Hypothesis]]]]: A person is [[sold]] [[lychees]].",0.008472740650177002,0.9133426547050476,2.0,0.0,2.0,75.0,"Successful"
"[[[[Premise]]]]: A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground.<SPLIT>[[[[Hypothesis]]]]: A person is [[burning]] a straw hat.","[[[[Premise]]]]: A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground.<SPLIT>[[[[Hypothesis]]]]: A person is [[feu]] a straw hat.",0.0011575818061828613,0.9987019896507263,0.0,1.0,0.0,54.0,"Successful"
"[[[[Premise]]]]: Male in a blue jacket decides to lay in the grass.<SPLIT>[[[[Hypothesis]]]]: The guy in [[yellow]] is rolling on the grass","[[[[Premise]]]]: Male in a blue jacket decides to lay in the grass.<SPLIT>[[[[Hypothesis]]]]: The guy in [[jaune]] is rolling on the grass",0.02724921703338623,0.9900691509246826,0.0,2.0,0.0,23.0,"Successful"
"[[[[Premise]]]]: Male in a blue jacket decides to lay in the grass.<SPLIT>[[[[Hypothesis]]]]: The guy wearing a blue jacket is laying on the green grass","[[[[Premise]]]]: Male in a blue jacket decides to lay in the grass.<SPLIT>[[[[Hypothesis]]]]: The guy wearing a blue jacket is laying on the green grass",0.8084684610366821,0.8084684610366821,2.0,2.0,1.0,1.0,"Skipped"
"[[[[Premise]]]]: Male in a blue jacket decides to lay in the grass.<SPLIT>[[[[Hypothesis]]]]: The guy wearing a blue jacket is laying on the green [[grass]] taking a [[nap]].","[[[[Premise]]]]: Male in a blue jacket decides to lay in the grass.<SPLIT>[[[[Hypothesis]]]]: The guy wearing a blue jacket is laying on the green [[turf]] taking a [[nip]].",0.04888099431991577,0.6085443496704102,2.0,1.0,2.0,55.0,"Successful"
"[[[[Premise]]]]: During calf roping a cowboy calls off his horse.<SPLIT>[[[[Hypothesis]]]]: A first [[time]] roper falls off his horse.","[[[[Premise]]]]: During calf roping a cowboy calls off his horse.<SPLIT>[[[[Hypothesis]]]]: A first [[juncture]] roper falls off his horse.",0.011610269546508789,0.8241143226623535,2.0,1.0,2.0,63.0,"Successful"
"[[[[Premise]]]]: During calf roping a cowboy calls off his horse.<SPLIT>[[[[Hypothesis]]]]: A man ropes a calf successfully.","[[[[Premise]]]]: During calf roping a cowboy calls off his horse.<SPLIT>[[[[Hypothesis]]]]: A man ropes a calf successfully.",0.6427721977233887,0.6427721977233887,2.0,2.0,0.0,1.0,"Skipped"
"[[[[Premise]]]]: A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment.<SPLIT>[[[[Hypothesis]]]]: A boy is on a [[playground]].","[[[[Premise]]]]: A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment.<SPLIT>[[[[Hypothesis]]]]: A boy is on a [[schoolyard]].",0.05416059494018555,0.9891217350959778,1.0,2.0,1.0,44.0,"Successful"
"[[[[Premise]]]]: A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment.<SPLIT>[[[[Hypothesis]]]]: The boy is playing on the swings after [[school]].","[[[[Premise]]]]: A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment.<SPLIT>[[[[Hypothesis]]]]: The boy is playing on the swings after [[profs]].",0.02961885929107666,0.7287886142730713,2.0,0.0,2.0,74.0,"Successful"
"[[[[Premise]]]]: A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment.<SPLIT>[[[[Hypothesis]]]]: The boy is [[sitting]] on the school [[bus]] on his way home.","[[[[Premise]]]]: A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment.<SPLIT>[[[[Hypothesis]]]]: The boy is [[installed]] on the school [[omnibus]] on his way home.",9.59634780883789e-05,0.5896544456481934,0.0,2.0,0.0,48.0,"Successful"
"[[[[Premise]]]]: A woman wearing a ball cap squats down to touch the cracked earth.<SPLIT>[[[[Hypothesis]]]]: An [[archeologist]] [[wearing]] a hat squats to [[examine]] the [[site]] for a dig","[[[[Premise]]]]: A woman wearing a ball cap squats down to touch the cracked earth.<SPLIT>[[[[Hypothesis]]]]: An [[oceanographer]] [[seaport]] a hat squats to [[scrutinized]] the [[websites]] for a dig",0.0021743178367614746,0.641106903553009,2.0,0.0,2.0,158.0,"Successful"
"[[[[Premise]]]]: A woman wearing a ball cap squats down to touch the cracked earth.<SPLIT>[[[[Hypothesis]]]]: A squatting woman wearing a [[hat]] [[touching]] the ground.","[[[[Premise]]]]: A woman wearing a ball cap squats down to touch the cracked earth.<SPLIT>[[[[Hypothesis]]]]: A squatting woman wearing a [[chapeau]] [[impacting]] the ground.",0.018389463424682617,0.9924196600914001,1.0,0.0,1.0,70.0,"Successful"
"[[[[Premise]]]]: A woman wearing a ball cap squats down to touch the cracked earth.<SPLIT>[[[[Hypothesis]]]]: A [[woman]] wearing a sun bonnet planting a garden.","[[[[Premise]]]]: A woman wearing a ball cap squats down to touch the cracked earth.<SPLIT>[[[[Hypothesis]]]]: A [[femme]] wearing a sun bonnet planting a garden.",0.05391538143157959,0.8307132124900818,0.0,2.0,0.0,66.0,"Successful"
"[[[[Premise]]]]: Two children re laying on a rug with some wooden bricks laid out in a square between them.<SPLIT>[[[[Hypothesis]]]]: Two children are building a brick furnace.","[[[[Premise]]]]: Two children re laying on a rug with some wooden bricks laid out in a square between them.<SPLIT>[[[[Hypothesis]]]]: Two children are building a brick furnace.",0.9510514140129089,0.9510514140129089,0.0,0.0,2.0,1.0,"Skipped"
"[[[[Premise]]]]: Two children re laying on a rug with some wooden bricks laid out in a square between them.<SPLIT>[[[[Hypothesis]]]]: Two children are playing [[catch]] at a [[park]].","[[[[Premise]]]]: Two children re laying on a rug with some wooden bricks laid out in a square between them.<SPLIT>[[[[Hypothesis]]]]: Two children are playing [[caught]] at a [[parque]].",0.00030922889709472656,0.8058379888534546,0.0,2.0,0.0,76.0,"Successful"
"[[[[Premise]]]]: Two children re laying on a rug with some wooden bricks laid out in a square between them.<SPLIT>[[[[Hypothesis]]]]: Two children are on a [[rug]].","[[[[Premise]]]]: Two children re laying on a rug with some wooden bricks laid out in a square between them.<SPLIT>[[[[Hypothesis]]]]: Two children are on a [[comforter]].",0.00598299503326416,0.990334153175354,1.0,2.0,1.0,35.0,"Successful"
"[[[[Premise]]]]: A man standing in front of a building on the phone as two men to the side pain on the side.<SPLIT>[[[[Hypothesis]]]]: a guy [[near]] a building stands by two other [[men]]","[[[[Premise]]]]: A man standing in front of a building on the phone as two men to the side pain on the side.<SPLIT>[[[[Hypothesis]]]]: a guy [[tightest]] a building stands by two other [[virile]]",0.03717166185379028,0.7908714413642883,1.0,2.0,1.0,70.0,"Successful"
"[[[[Premise]]]]: A man standing in front of a building on the phone as two men to the side pain on the side.<SPLIT>[[[[Hypothesis]]]]: two [[girls]] [[walk]] through a [[hall]]","[[[[Premise]]]]: A man standing in front of a building on the phone as two men to the side pain on the side.<SPLIT>[[[[Hypothesis]]]]: two [[feminine]] [[foot]] through a [[concourse]]",4.673004150390625e-05,0.3333391547203064,0.0,0.0,0.0,117.0,"Failed"
"[[[[Premise]]]]: A man standing in front of a building on the phone as two men to the side pain on the side.<SPLIT>[[[[Hypothesis]]]]: a busy man stands with [[bodyguards]]","[[[[Premise]]]]: A man standing in front of a building on the phone as two men to the side pain on the side.<SPLIT>[[[[Hypothesis]]]]: a busy man stands with [[guard]]",0.13104861974716187,0.6827292442321777,2.0,1.0,2.0,44.0,"Successful"
"[[[[Premise]]]]: The two young girls are dressed as fairies, and are playing in the leaves outdoors.<SPLIT>[[[[Hypothesis]]]]: [[Girls]] are playing outdoors.","[[[[Premise]]]]: The two young girls are dressed as fairies, and are playing in the leaves outdoors.<SPLIT>[[[[Hypothesis]]]]: [[Hens]] are playing outdoors.",0.01258939504623413,0.9988018274307251,1.0,0.0,1.0,68.0,"Successful"
"[[[[Premise]]]]: The two young girls are dressed as fairies, and are playing in the leaves outdoors.<SPLIT>[[[[Hypothesis]]]]: Two girls play dress up [[indoors]].","[[[[Premise]]]]: The two young girls are dressed as fairies, and are playing in the leaves outdoors.<SPLIT>[[[[Hypothesis]]]]: Two girls play dress up [[inner]].",0.0031095147132873535,0.982280433177948,0.0,1.0,0.0,31.0,"Successful"
"[[[[Premise]]]]: The two young girls are dressed as fairies, and are playing in the leaves outdoors.<SPLIT>[[[[Hypothesis]]]]: The two girls play in the [[Autumn]].","[[[[Premise]]]]: The two young girls are dressed as fairies, and are playing in the leaves outdoors.<SPLIT>[[[[Hypothesis]]]]: The two girls play in the [[Falls]].",0.004149675369262695,0.8467002511024475,2.0,0.0,2.0,63.0,"Successful"
"[[[[Premise]]]]: People jump over a mountain crevasse on a rope.<SPLIT>[[[[Hypothesis]]]]: Some people look visually afraid to jump.","[[[[Premise]]]]: People jump over a mountain crevasse on a rope.<SPLIT>[[[[Hypothesis]]]]: Some people look visually afraid to jump.",0.5246555805206299,0.5246555805206299,0.0,0.0,2.0,1.0,"Skipped"
"[[[[Premise]]]]: People jump over a mountain crevasse on a rope.<SPLIT>[[[[Hypothesis]]]]: [[People]] are jumping outside.","[[[[Premise]]]]: People jump over a mountain crevasse on a rope.<SPLIT>[[[[Hypothesis]]]]: [[Burgers]] are jumping outside.",0.07787662744522095,0.9992644786834717,1.0,0.0,1.0,57.0,"Successful"
"[[[[Premise]]]]: People jump over a mountain crevasse on a rope.<SPLIT>[[[[Hypothesis]]]]: People [[slide]] over a mountain crevasse on a [[slide]].","[[[[Premise]]]]: People jump over a mountain crevasse on a rope.<SPLIT>[[[[Hypothesis]]]]: People [[toboggan]] over a mountain crevasse on a [[slippery]].",0.0006226897239685059,0.9429315328598022,0.0,2.0,0.0,53.0,"Successful"
"[[[[Premise]]]]: A snowboarder on a wide plain of snow<SPLIT>[[[[Hypothesis]]]]: A [[snow]] field with a snowboarder on it","[[[[Premise]]]]: A snowboarder on a wide plain of snow<SPLIT>[[[[Hypothesis]]]]: A [[snowstorm]] field with a snowboarder on it",0.04956430196762085,0.9154351949691772,1.0,2.0,1.0,39.0,"Successful"
"[[[[Premise]]]]: A snowboarder on a wide plain of snow<SPLIT>[[[[Hypothesis]]]]: A snowboarder gliding over a field of snow","[[[[Premise]]]]: A snowboarder on a wide plain of snow<SPLIT>[[[[Hypothesis]]]]: A snowboarder gliding over a field of snow",0.6549698114395142,0.6549698114395142,1.0,1.0,2.0,1.0,"Skipped"
"[[[[Premise]]]]: A snowboarder on a wide plain of snow<SPLIT>[[[[Hypothesis]]]]: A snowmobile in a blizzard","[[[[Premise]]]]: A snowboarder on a wide plain of snow<SPLIT>[[[[Hypothesis]]]]: A snowmobile in a blizzard",0.9992154240608215,0.9992154240608215,0.0,0.0,2.0,1.0,"Skipped"
"[[[[Premise]]]]: An older women tending to a garden.<SPLIT>[[[[Hypothesis]]]]: The lady is [[cooking]] [[dinner]]","[[[[Premise]]]]: An older women tending to a garden.<SPLIT>[[[[Hypothesis]]]]: The lady is [[pans]] [[caterer]]",0.0010429620742797852,0.9929433465003967,0.0,2.0,0.0,72.0,"Successful"
"[[[[Premise]]]]: An older women tending to a garden.<SPLIT>[[[[Hypothesis]]]]: The lady is [[weeding]] her garden","[[[[Premise]]]]: An older women tending to a garden.<SPLIT>[[[[Hypothesis]]]]: The lady is [[hoeing]] her garden",0.026180684566497803,0.9364139437675476,2.0,1.0,2.0,27.0,"Successful"
"[[[[Premise]]]]: An older women tending to a garden.<SPLIT>[[[[Hypothesis]]]]: The lady has a [[garden]]","[[[[Premise]]]]: An older women tending to a garden.<SPLIT>[[[[Hypothesis]]]]: The lady has a [[playground]]",0.15169543027877808,0.9965543150901794,1.0,0.0,1.0,38.0,"Successful"
"[[[[Premise]]]]: A man in a black shirt overlooking bike maintenance.<SPLIT>[[[[Hypothesis]]]]: A man [[destroys]] a bike.","[[[[Premise]]]]: A man in a black shirt overlooking bike maintenance.<SPLIT>[[[[Hypothesis]]]]: A man [[dismantle]] a bike.",0.0004006028175354004,0.6916884779930115,0.0,2.0,0.0,65.0,"Successful"
"[[[[Premise]]]]: A man in a black shirt overlooking bike maintenance.<SPLIT>[[[[Hypothesis]]]]: A man [[watches]] bike repairs.","[[[[Premise]]]]: A man in a black shirt overlooking bike maintenance.<SPLIT>[[[[Hypothesis]]]]: A man [[rolex]] bike repairs.",0.013232052326202393,0.9993113875389099,1.0,2.0,1.0,23.0,"Successful"
